customer_id,acquisition_date,acquisition_channel,acquisition_cac,city,city_tier,age,gender,preferred_category,cohort_month,cohort_month_dt
CUST00001,2022-01-26,Organic Search,148.98,Kolkata,Tier 1,26,Male,Skincare,2022-01,2022-01
CUST00002,2022-02-02,Influencer,1340.5,Mumbai,Tier 1,50,Female,Haircare,2022-02,2022-02
CUST00003,2023-12-20,Organic Search,144.09,Chennai,Tier 1,35,Male,Skincare,2023-12,2023-12
CUST00004,2022-06-13,Organic Search,168.05,Ahmedabad,Tier 1,27,Female,Supplements,2022-06,2022-06
CUST00005,2023-01-25,Paid Instagram,1308.5,Mumbai,Tier 1,34,Male,Personal Care,2023-01,2023-01
CUST00006,2023-01-23,Influencer,1422.5,Mumbai,Tier 1,41,Female,Skincare,2023-01,2023-01
CUST00007,2022-08-22,Paid Instagram,1391.13,Jaipur,Tier 2,32,Male,Personal Care,2022-08,2022-08
CUST00008,2023-10-13,Paid Google,681.33,Lucknow,Tier 2,40,Female,Supplements,2023-10,2023-10
CUST00009,2023-12-01,Organic Search,221.83,Ahmedabad,Tier 1,28,Female,Haircare,2023-12,2023-12
CUST00010,2023-01-24,Paid Instagram,1355.23,Delhi,Tier 1,32,Male,Skincare,2023-01,2023-01
CUST00011,2022-02-02,Paid Instagram,1040.7,Jaipur,Tier 2,22,Female,Supplements,2022-02,2022-02
CUST00012,2023-05-27,Paid Instagram,1348.73,Hyderabad,Tier 1,47,Female,Haircare,2023-05,2023-05
CUST00013,2023-07-29,Paid Instagram,1248.21,Chennai,Tier 1,45,Male,Personal Care,2023-07,2023-07
CUST00014,2022-05-22,Paid Google,645.45,Chennai,Tier 1,21,Male,Haircare,2022-05,2022-05
CUST00015,2024-03-22,Organic Search,219.28,Ahmedabad,Tier 1,42,Female,Personal Care,2024-03,2024-03
CUST00016,2023-07-21,Influencer,1112.63,Surat,Tier 2,25,Male,Supplements,2023-07,2023-07
CUST00017,2022-12-15,Organic Search,186.95,Mumbai,Tier 1,47,Female,Supplements,2022-12,2022-12
CUST00018,2024-02-20,Direct,141.26,Delhi,Tier 1,37,Male,Haircare,2024-02,2024-02
CUST00019,2024-02-20,Paid Instagram,1372.1,Delhi,Tier 1,51,Male,Supplements,2024-02,2024-02
CUST00020,2022-04-25,Influencer,2066.59,Chandigarh,Tier 2,37,Female,Haircare,2022-04,2022-04
CUST00021,2022-03-22,Email Referral,247.2,Mumbai,Tier 1,22,Other,Haircare,2022-03,2022-03
CUST00022,2023-05-02,Paid Instagram,899.08,Kochi,Tier 2,51,Male,Personal Care,2023-05,2023-05
CUST00023,2023-07-07,Direct,118.99,Kolkata,Tier 1,37,Female,Supplements,2023-07,2023-07
CUST00024,2023-06-14,Paid Google,723.95,Hyderabad,Tier 1,22,Female,Haircare,2023-06,2023-06
CUST00025,2022-01-08,Influencer,1794.21,Mumbai,Tier 1,32,Female,Skincare,2022-01,2022-01
CUST00026,2022-03-14,Email Referral,205.7,Chennai,Tier 1,49,Female,Haircare,2022-03,2022-03
CUST00027,2024-06-22,Organic Search,194.53,Pune,Tier 1,48,Male,Haircare,2024-06,2024-06
CUST00028,2023-11-06,Paid Instagram,1054.15,Hyderabad,Tier 1,47,Male,Skincare,2023-11,2023-11
CUST00029,2023-10-24,Organic Search,180.52,Mumbai,Tier 1,39,Male,Skincare,2023-10,2023-10
CUST00030,2022-07-14,Paid Instagram,884.11,Chennai,Tier 1,29,Female,Haircare,2022-07,2022-07
CUST00031,2022-03-19,Email Referral,322.27,Hyderabad,Tier 1,24,Female,Skincare,2022-03,2022-03
CUST00032,2024-02-11,Direct,66.63,Lucknow,Tier 2,49,Female,Personal Care,2024-02,2024-02
CUST00033,2022-06-18,Direct,148.53,Bengaluru,Tier 1,34,Male,Personal Care,2022-06,2022-06
CUST00034,2023-12-15,Paid Google,1097.71,Kochi,Tier 2,49,Female,Supplements,2023-12,2023-12
CUST00035,2022-03-01,Paid Instagram,1125.32,Pune,Tier 1,38,Female,Personal Care,2022-03,2022-03
CUST00036,2024-05-23,Influencer,1162.57,Chennai,Tier 1,50,Female,Haircare,2024-05,2024-05
CUST00037,2022-03-11,Paid Instagram,941.12,Ahmedabad,Tier 1,25,Male,Haircare,2022-03,2022-03
CUST00038,2022-02-10,Influencer,1561.15,Pune,Tier 1,51,Female,Supplements,2022-02,2022-02
CUST00039,2024-01-04,Paid Instagram,959.37,Bengaluru,Tier 1,26,Male,Supplements,2024-01,2024-01
CUST00040,2024-02-09,Influencer,1110.25,Kochi,Tier 2,24,Female,Haircare,2024-02,2024-02
CUST00041,2022-05-16,Influencer,2068.95,Kochi,Tier 2,33,Female,Haircare,2022-05,2022-05
CUST00042,2023-07-11,Paid Google,905.84,Ahmedabad,Tier 1,51,Female,Supplements,2023-07,2023-07
CUST00043,2022-04-17,Direct,63.43,Kochi,Tier 2,25,Male,Haircare,2022-04,2022-04
CUST00044,2023-09-12,Paid Google,771.44,Delhi,Tier 1,34,Female,Supplements,2023-09,2023-09
CUST00045,2024-05-16,Direct,113.43,Mumbai,Tier 1,35,Female,Supplements,2024-05,2024-05
