return_id,order_id,customer_id,return_date,return_reason,refund_amount,reverse_logistics,restocking_cost,net_return_cost,acquisition_channel
RET000001,ORD0000008,CUST00006,2023-01-29,Changed mind,1602.01,80,18.0,1700.01,Influencer
RET000002,ORD0000011,CUST00007,2022-11-03,Product damaged,1173.75,80,14.25,1268.0,Paid Instagram
RET000003,ORD0000015,CUST00008,2023-10-19,Quality issue,2166.47,80,25.5,2271.97,Paid Google
RET000004,ORD0000021,CUST00012,2023-06-02,Wrong item,1631.17,80,17.5,1728.67,Paid Instagram
RET000005,ORD0000032,CUST00018,2024-03-02,Allergic reaction,1052.54,80,9.0,1141.54,Direct
RET000006,ORD0000033,CUST00019,2024-03-01,Quality issue,715.62,80,7.5,803.12,Paid Instagram
RET000007,ORD0000035,CUST00021,2022-03-27,Wrong item,2071.61,80,21.25,2172.86,Email Referral
RET000008,ORD0000037,CUST00022,2023-05-10,Changed mind,341.86,80,3.5,425.36,Paid Instagram
RET000009,ORD0000041,CUST00025,2022-01-23,Allergic reaction,4975.59,80,57.0,5112.59,Influencer
RET000010,ORD0000054,CUST00035,2022-03-14,Not as described,1296.61,80,13.0,1389.61,Paid Instagram
RET000011,ORD0000055,CUST00035,2022-06-29,Changed mind,900.6,80,8.75,989.35,Paid Instagram
RET000012,ORD0000073,CUST00046,2023-10-20,Not as described,771.98,80,8.0,859.98,Organic Search
RET000013,ORD0000078,CUST00049,2022-08-07,Quality issue,1258.56,80,14.5,1353.06,Email Referral
RET000014,ORD0000083,CUST00052,2024-06-17,Product damaged,638.86,80,6.5,725.36,Paid Google
RET000015,ORD0000092,CUST00058,2024-05-31,Changed mind,1810.89,80,22.0,1912.89,Paid Instagram
RET000016,ORD0000103,CUST00065,2022-06-07,Not as described,359.9,80,3.5,443.4,Email Referral
RET000017,ORD0000104,CUST00066,2024-07-01,Allergic reaction,569.16,80,6.5,655.66,Influencer
RET000018,ORD0000120,CUST00077,2022-10-24,Changed mind,290.66,80,3.5,374.16,Influencer
RET000019,ORD0000128,CUST00083,2022-01-25,Quality issue,635.78,80,6.0,721.78,Paid Instagram
RET000020,ORD0000136,CUST00089,2024-05-09,Wrong item,1761.79,80,24.5,1866.29,Organic Search
RET000021,ORD0000147,CUST00096,2023-08-07,Quality issue,252.32,80,3.0,335.32,Influencer
RET000022,ORD0000149,CUST00098,2024-01-31,Wrong item,2094.57,80,21.0,2195.57,Paid Instagram
RET000023,ORD0000153,CUST00100,2022-06-06,Quality issue,318.38,80,3.5,401.88,Paid Google
RET000024,ORD0000177,CUST00114,2024-02-28,Not as described,397.92,80,3.5,481.42,Influencer
RET000025,ORD0000180,CUST00115,2023-08-06,Allergic reaction,681.84,80,7.5,769.34,Direct
RET000026,ORD0000199,CUST00130,2022-06-06,Quality issue,572.37,80,6.0,658.37,Paid Instagram
RET000027,ORD0000208,CUST00136,2024-05-28,Quality issue,865.8,80,10.75,956.55,Influencer
RET000028,ORD0000232,CUST00152,2022-05-05,Product damaged,1107.69,80,11.0,1198.69,Organic Search
RET000029,ORD0000249,CUST00163,2022-05-07,Changed mind,1453.02,80,16.0,1549.02,Influencer
RET000030,ORD0000251,CUST00165,2023-04-18,Quality issue,1457.0,80,16.0,1553.0,Influencer
RET000031,ORD0000257,CUST00170,2022-04-23,Product damaged,1201.86,80,16.0,1297.86,Paid Instagram
RET000032,ORD0000271,CUST00180,2023-12-06,Not as described,915.83,80,9.25,1005.08,Paid Instagram
