customer_id,recency,frequency,monetary,acquisition_channel,acquisition_cac,city_tier,cluster,segment
CUST00001,1070,1,2056.4,Organic Search,148.98,Tier 1,0,At Risk
CUST00002,1063,1,518.2,Influencer,1340.5,Tier 1,0,At Risk
CUST00003,257,3,2959.1,Organic Search,144.09,Tier 1,2,Champions
CUST00004,933,1,568.4,Organic Search,168.05,Tier 1,0,At Risk
CUST00005,704,1,595.6,Paid Instagram,1308.5,Tier 1,0,At Risk
CUST00006,707,1,1429.65,Influencer,1422.5,Tier 1,0,At Risk
CUST00007,593,6,5616.2,Paid Instagram,1391.13,Tier 2,2,Champions
CUST00008,332,2,3420.45,Paid Google,681.33,Tier 2,1,Loyalists
CUST00009,394,1,1411.2,Organic Search,221.83,Tier 1,3,Lost / Dormant
CUST00010,653,2,1348.2,Paid Instagram,1355.23,Tier 1,1,Loyalists
CUST00011,1062,1,509.1,Paid Instagram,1040.7,Tier 2,0,At Risk
CUST00012,583,1,1287.45,Paid Instagram,1348.73,Tier 1,3,Lost / Dormant
CUST00013,520,1,84.1,Paid Instagram,1248.21,Tier 1,3,Lost / Dormant
CUST00014,882,2,1333.55,Paid Google,645.45,Tier 1,0,At Risk
CUST00015,212,2,1365.0,Organic Search,219.28,Tier 1,3,Lost / Dormant
CUST00016,443,2,4898.3,Influencer,1112.63,Tier 2,2,Champions
CUST00017,619,3,2895.6499999999996,Organic Search,186.95,Tier 1,1,Loyalists
CUST00018,314,1,858.0,Direct,141.26,Tier 1,3,Lost / Dormant
CUST00019,315,1,589.0,Paid Instagram,1372.1,Tier 1,3,Lost / Dormant
CUST00020,980,1,269.0,Influencer,2066.59,Tier 2,0,At Risk
CUST00021,918,2,2139.0,Email Referral,247.2,Tier 1,1,Loyalists
CUST00022,609,1,249.05,Paid Instagram,899.08,Tier 2,3,Lost / Dormant
CUST00023,475,2,1168.1,Direct,118.99,Tier 1,1,Loyalists
CUST00024,566,1,289.2,Paid Google,723.95,Tier 1,3,Lost / Dormant
CUST00025,1001,2,6610.25,Influencer,1794.21,Tier 1,2,Champions
CUST00026,1022,1,519.0,Email Referral,205.7,Tier 1,0,At Risk
CUST00027,192,1,269.0,Organic Search,194.53,Tier 1,3,Lost / Dormant
CUST00028,421,1,713.2,Paid Instagram,1054.15,Tier 1,3,Lost / Dormant
CUST00029,433,1,2047.3,Organic Search,180.52,Tier 1,3,Lost / Dormant
CUST00030,842,2,3894.15,Paid Instagram,884.11,Tier 1,1,Loyalists
CUST00031,1016,1,2965.5,Email Referral,322.27,Tier 1,0,At Risk
CUST00032,323,1,144.15,Direct,66.63,Tier 2,3,Lost / Dormant
CUST00033,862,2,611.3,Direct,148.53,Tier 1,0,At Risk
CUST00034,382,1,1347.0,Paid Google,1097.71,Tier 2,3,Lost / Dormant
CUST00035,932,2,1765.8500000000001,Paid Instagram,1125.32,Tier 1,0,At Risk
CUST00036,220,1,878.0,Influencer,1162.57,Tier 1,3,Lost / Dormant
CUST00037,1024,1,1332.45,Paid Instagram,941.12,Tier 1,0,At Risk
CUST00038,1056,1,549.05,Influencer,1561.15,Tier 1,0,At Risk
CUST00039,182,4,5145.6,Paid Instagram,959.37,Tier 1,2,Champions
CUST00040,276,2,2746.1,Influencer,1110.25,Tier 2,1,Loyalists
CUST00041,959,1,264.1,Influencer,2068.95,Tier 2,0,At Risk
CUST00042,484,2,3169.5,Paid Google,905.84,Tier 1,1,Loyalists
CUST00043,990,1,1017.3,Direct,63.43,Tier 2,0,At Risk
CUST00044,475,1,304.1,Paid Google,771.44,Tier 1,3,Lost / Dormant
CUST00045,107,3,2226.05,Direct,113.43,Tier 1,1,Loyalists
CUST00046,291,3,1120.3000000000002,Organic Search,132.32,Tier 3,1,Loyalists
CUST00047,981,1,1227.3,Influencer,2071.42,Tier 1,0,At Risk
CUST00048,943,1,960.6,Influencer,1146.01,Tier 1,0,At Risk
CUST00049,827,2,1481.1999999999998,Email Referral,283.39,Tier 1,0,At Risk
CUST00050,328,1,913.2,Direct,142.99,Tier 1,3,Lost / Dormant
CUST00051,1070,1,229.0,Email Referral,334.9,Tier 1,0,At Risk
CUST00052,206,2,2251.3,Paid Google,791.27,Tier 1,1,Loyalists
CUST00053,623,1,371.55,Paid Instagram,1292.32,Tier 1,3,Lost / Dormant
CUST00054,811,1,189.2,Paid Google,1083.44,Tier 2,0,At Risk
CUST00055,38,3,2226.3,Organic Search,287.85,Tier 1,2,Champions
CUST00056,823,1,519.0,Paid Instagram,1157.94,Tier 1,0,At Risk
CUST00057,573,1,518.0,Paid Google,1049.75,Tier 1,3,Lost / Dormant
CUST00058,225,2,4362.1,Paid Instagram,1231.66,Tier 1,2,Champions
CUST00059,531,4,4032.45,Direct,116.34,Tier 1,2,Champions
CUST00060,411,1,159.2,Influencer,1542.64,Tier 1,3,Lost / Dormant
CUST00061,706,1,1158.1,Paid Google,1051.4,Tier 1,0,At Risk
CUST00062,819,2,1846.8,Paid Google,889.99,Tier 1,1,Loyalists
CUST00063,572,1,379.2,Organic Search,280.24,Tier 1,3,Lost / Dormant
CUST00064,446,1,241.65,Influencer,1202.73,Tier 1,3,Lost / Dormant
CUST00065,946,1,269.0,Email Referral,198.97,Tier 1,0,At Risk
CUST00066,186,1,439.1,Influencer,1313.88,Tier 1,3,Lost / Dormant
CUST00067,390,1,589.1,Paid Instagram,1250.58,Tier 1,3,Lost / Dormant
CUST00068,381,1,1477.0,Paid Instagram,830.13,Tier 1,3,Lost / Dormant
CUST00069,160,2,2159.75,Influencer,1684.25,Tier 1,1,Loyalists
CUST00070,360,1,129.2,Organic Search,185.35,Tier 2,3,Lost / Dormant
CUST00071,324,1,189.2,Influencer,1801.43,Tier 1,3,Lost / Dormant
CUST00072,820,3,4190.8,Paid Google,717.25,Tier 1,2,Champions
CUST00073,857,1,104.0,Paid Instagram,891.68,Tier 1,0,At Risk
CUST00074,616,1,1169.95,Paid Google,703.42,Tier 1,3,Lost / Dormant
CUST00075,244,3,2784.0,Email Referral,245.4,Tier 1,2,Champions
CUST00076,238,1,1447.0,Email Referral,299.5,Tier 1,3,Lost / Dormant
CUST00077,815,1,189.2,Influencer,1131.93,Tier 1,0,At Risk
CUST00078,233,1,211.55,Organic Search,125.53,Tier 1,3,Lost / Dormant
CUST00079,417,1,588.2,Influencer,1807.02,Tier 1,3,Lost / Dormant
CUST00080,705,1,174.05,Paid Instagram,1072.82,Tier 1,0,At Risk
CUST00081,243,1,569.1,Paid Google,1017.46,Tier 1,3,Lost / Dormant
CUST00082,575,3,8867.349999999999,Direct,56.86,Tier 1,2,Champions
CUST00083,1075,1,519.0,Paid Instagram,943.13,Tier 1,0,At Risk
CUST00084,833,1,371.55,Influencer,1284.57,Tier 1,0,At Risk
CUST00085,769,3,2145.45,Direct,142.89,Tier 1,1,Loyalists
CUST00086,387,1,519.0,Paid Instagram,945.71,Tier 2,3,Lost / Dormant
CUST00087,516,1,3026.4,Email Referral,219.44,Tier 2,1,Loyalists
CUST00088,746,1,1608.2,Influencer,1562.06,Tier 1,0,At Risk
CUST00089,245,1,1368.4,Organic Search,130.6,Tier 1,3,Lost / Dormant
CUST00090,514,2,1412.4499999999998,Organic Search,192.97,Tier 2,1,Loyalists
CUST00091,1007,1,74.15,Email Referral,240.16,Tier 1,0,At Risk
CUST00092,589,1,449.1,Paid Google,690.92,Tier 2,3,Lost / Dormant
CUST00093,108,2,757.5,Paid Google,1040.05,Tier 1,3,Lost / Dormant
CUST00094,357,1,518.0,Paid Instagram,1133.11,Tier 1,3,Lost / Dormant
CUST00095,1016,2,3368.65,Paid Google,710.8,Tier 1,1,Loyalists
CUST00096,517,2,1026.35,Influencer,2196.29,Tier 1,3,Lost / Dormant
CUST00097,839,1,968.0,Paid Google,960.64,Tier 1,0,At Risk
CUST00098,340,1,1766.0,Paid Instagram,1234.75,Tier 1,3,Lost / Dormant
CUST00099,792,1,249.05,Email Referral,185.89,Tier 1,0,At Risk
CUST00100,948,3,1375.45,Paid Google,948.71,Tier 1,1,Loyalists
CUST00101,1083,1,998.3,Paid Instagram,1081.64,Tier 1,0,At Risk
CUST00102,108,2,1471.15,Paid Google,1011.06,Tier 1,3,Lost / Dormant
CUST00103,266,1,1047.0,Paid Instagram,982.3,Tier 1,3,Lost / Dormant
CUST00104,287,1,286.55,Organic Search,255.14,Tier 1,3,Lost / Dormant
CUST00105,270,4,2594.55,Paid Google,752.69,Tier 3,2,Champions
CUST00106,477,6,5111.3,Direct,76.46,Tier 1,2,Champions
CUST00107,934,1,588.2,Influencer,1595.55,Tier 1,0,At Risk
CUST00108,778,2,2290.3,Paid Google,827.02,Tier 1,1,Loyalists
CUST00109,536,1,1523.1,Paid Google,674.49,Tier 1,3,Lost / Dormant
CUST00110,283,1,992.3,Paid Instagram,1249.37,Tier 1,3,Lost / Dormant
CUST00111,377,1,1956.0,Organic Search,154.45,Tier 1,3,Lost / Dormant
CUST00112,184,1,1008.0,Influencer,1454.55,Tier 1,3,Lost / Dormant
CUST00113,238,1,549.05,Direct,108.71,Tier 2,3,Lost / Dormant
CUST00114,312,1,269.0,Influencer,1617.55,Tier 1,3,Lost / Dormant
CUST00115,519,3,1729.85,Direct,99.17,Tier 1,1,Loyalists
CUST00116,378,2,2386.3,Paid Google,680.41,Tier 1,1,Loyalists
CUST00117,685,1,1857.3,Organic Search,210.02,Tier 2,0,At Risk
CUST00118,302,1,440.6,Paid Google,857.3,Tier 1,3,Lost / Dormant
CUST00119,902,1,399.05,Paid Google,911.32,Tier 1,0,At Risk
CUST00120,531,1,748.2,Paid Instagram,972.82,Tier 1,3,Lost / Dormant
CUST00121,776,1,229.0,Organic Search,210.45,Tier 1,0,At Risk
CUST00122,884,2,2955.4,Influencer,1269.37,Tier 1,1,Loyalists
CUST00123,601,1,2012.75,Paid Google,721.87,Tier 3,3,Lost / Dormant
CUST00124,675,3,3983.0,Email Referral,320.88,Tier 2,2,Champions
CUST00125,807,1,687.0,Email Referral,317.5,Tier 1,0,At Risk
CUST00126,741,1,624.05,Influencer,1939.16,Tier 1,0,At Risk
CUST00127,379,1,829.65,Email Referral,226.59,Tier 1,3,Lost / Dormant
CUST00128,263,1,159.2,Organic Search,297.68,Tier 1,3,Lost / Dormant
CUST00129,492,1,229.1,Paid Instagram,860.22,Tier 1,3,Lost / Dormant
CUST00130,949,1,414.15,Paid Instagram,1192.87,Tier 1,0,At Risk
CUST00131,385,1,1132.45,Paid Google,640.16,Tier 1,3,Lost / Dormant
CUST00132,455,1,807.0,Direct,125.94,Tier 1,3,Lost / Dormant
CUST00133,318,3,2120.3,Paid Instagram,1398.46,Tier 2,1,Loyalists
CUST00134,376,1,614.05,Organic Search,188.74,Tier 2,3,Lost / Dormant
CUST00135,1036,1,445.6,Paid Google,787.42,Tier 1,0,At Risk
CUST00136,223,2,1112.5,Influencer,1292.58,Tier 1,3,Lost / Dormant
CUST00137,496,1,758.0,Influencer,1607.26,Tier 1,3,Lost / Dormant
CUST00138,620,1,1722.45,Email Referral,285.52,Tier 2,3,Lost / Dormant
CUST00139,630,3,2199.2,Direct,92.43,Tier 1,1,Loyalists
CUST00140,701,1,404.15,Paid Instagram,863.99,Tier 2,0,At Risk
CUST00141,675,2,3356.3,Direct,133.0,Tier 1,1,Loyalists
CUST00142,266,2,1109.0500000000002,Direct,140.42,Tier 1,3,Lost / Dormant
CUST00143,735,1,264.1,Organic Search,138.03,Tier 1,0,At Risk
CUST00144,451,1,718.1,Organic Search,161.79,Tier 1,3,Lost / Dormant
CUST00145,1001,1,1047.0,Organic Search,165.34,Tier 2,0,At Risk
CUST00146,31,4,5884.45,Email Referral,256.17,Tier 3,2,Champions
CUST00147,602,1,549.05,Direct,79.51,Tier 3,3,Lost / Dormant
CUST00148,952,1,264.1,Direct,72.56,Tier 1,0,At Risk
CUST00149,600,2,7197.6,Paid Instagram,1121.94,Tier 1,2,Champions
CUST00150,251,1,94.05,Influencer,1508.62,Tier 1,3,Lost / Dormant
CUST00151,868,1,1093.1,Direct,113.54,Tier 1,0,At Risk
CUST00152,866,2,1168.9,Organic Search,289.25,Tier 1,0,At Risk
CUST00153,186,1,309.0,Paid Instagram,1033.19,Tier 1,3,Lost / Dormant
CUST00154,350,1,286.55,Influencer,1556.37,Tier 1,3,Lost / Dormant
CUST00155,763,2,1906.3,Direct,87.05,Tier 1,1,Loyalists
CUST00156,993,1,1722.45,Email Referral,223.47,Tier 3,0,At Risk
CUST00157,851,3,2405.6499999999996,Paid Instagram,1294.51,Tier 2,1,Loyalists
CUST00158,755,1,2567.3,Paid Instagram,875.55,Tier 1,0,At Risk
