customer_id,acquisition_date,acquisition_channel,acquisition_cac,city,city_tier,age,gender,preferred_category
CUST00001,2022-01-26,Organic Search,148.98,Kolkata,Tier 1,26,Male,Skincare
CUST00002,2022-02-02,Influencer,1340.5,Mumbai,Tier 1,50,Female,Haircare
CUST00003,2023-12-20,Organic Search,144.09,Chennai,Tier 1,35,Male,Skincare
CUST00004,2022-06-13,Organic Search,168.05,Ahmedabad,Tier 1,27,Female,Supplements
CUST00005,2023-01-25,Paid Instagram,1308.5,Mumbai,Tier 1,34,Male,Personal Care
CUST00006,2023-01-23,Influencer,1422.5,Mumbai,Tier 1,41,Female,Skincare
CUST00007,2022-08-22,Paid Instagram,1391.13,Jaipur,Tier 2,32,Male,Personal Care
CUST00008,2023-10-13,Paid Google,681.33,Lucknow,Tier 2,40,Female,Supplements
CUST00009,2023-12-01,Organic Search,221.83,Ahmedabad,Tier 1,28,Female,Haircare
CUST00010,2023-01-24,Paid Instagram,1355.23,Delhi,Tier 1,32,Male,Skincare
CUST00011,2022-02-02,Paid Instagram,1040.7,Jaipur,Tier 2,22,Female,Supplements
CUST00012,2023-05-27,Paid Instagram,1348.73,Hyderabad,Tier 1,47,Female,Haircare
CUST00013,2023-07-29,Paid Instagram,1248.21,Chennai,Tier 1,45,Male,Personal Care
CUST00014,2022-05-22,Paid Google,645.45,Chennai,Tier 1,21,Male,Haircare
CUST00015,2024-03-22,Organic Search,219.28,Ahmedabad,Tier 1,42,Female,Personal Care
CUST00016,2023-07-21,Influencer,1112.63,Surat,Tier 2,25,Male,Supplements
CUST00017,2022-12-15,Organic Search,186.95,Mumbai,Tier 1,47,Female,Supplements
CUST00018,2024-02-20,Direct,141.26,Delhi,Tier 1,37,Male,Haircare
CUST00019,2024-02-20,Paid Instagram,1372.1,Delhi,Tier 1,51,Male,Supplements
CUST00020,2022-04-25,Influencer,2066.59,Chandigarh,Tier 2,37,Female,Haircare
CUST00021,2022-03-22,Email Referral,247.2,Mumbai,Tier 1,22,Other,Haircare
CUST00022,2023-05-02,Paid Instagram,899.08,Kochi,Tier 2,51,Male,Personal Care
CUST00023,2023-07-07,Direct,118.99,Kolkata,Tier 1,37,Female,Supplements
CUST00024,2023-06-14,Paid Google,723.95,Hyderabad,Tier 1,22,Female,Haircare
CUST00025,2022-01-08,Influencer,1794.21,Mumbai,Tier 1,32,Female,Skincare
CUST00026,2022-03-14,Email Referral,205.7,Chennai,Tier 1,49,Female,Haircare
CUST00027,2024-06-22,Organic Search,194.53,Pune,Tier 1,48,Male,Haircare
CUST00028,2023-11-06,Paid Instagram,1054.15,Hyderabad,Tier 1,47,Male,Skincare
CUST00029,2023-10-24,Organic Search,180.52,Mumbai,Tier 1,39,Male,Skincare
CUST00030,2022-07-14,Paid Instagram,884.11,Chennai,Tier 1,29,Female,Haircare
CUST00031,2022-03-19,Email Referral,322.27,Hyderabad,Tier 1,24,Female,Skincare
CUST00032,2024-02-11,Direct,66.63,Lucknow,Tier 2,49,Female,Personal Care
CUST00033,2022-06-18,Direct,148.53,Bengaluru,Tier 1,34,Male,Personal Care
CUST00034,2023-12-15,Paid Google,1097.71,Kochi,Tier 2,49,Female,Supplements
CUST00035,2022-03-01,Paid Instagram,1125.32,Pune,Tier 1,38,Female,Personal Care
CUST00036,2024-05-23,Influencer,1162.57,Chennai,Tier 1,50,Female,Haircare
CUST00037,2022-03-11,Paid Instagram,941.12,Ahmedabad,Tier 1,25,Male,Haircare
CUST00038,2022-02-10,Influencer,1561.15,Pune,Tier 1,51,Female,Supplements
CUST00039,2024-01-04,Paid Instagram,959.37,Bengaluru,Tier 1,26,Male,Supplements
CUST00040,2024-02-09,Influencer,1110.25,Kochi,Tier 2,24,Female,Haircare
CUST00041,2022-05-16,Influencer,2068.95,Kochi,Tier 2,33,Female,Haircare
CUST00042,2023-07-11,Paid Google,905.84,Ahmedabad,Tier 1,51,Female,Supplements
CUST00043,2022-04-17,Direct,63.43,Kochi,Tier 2,25,Male,Haircare
CUST00044,2023-09-12,Paid Google,771.44,Delhi,Tier 1,34,Female,Supplements
CUST00045,2024-05-16,Direct,113.43,Mumbai,Tier 1,35,Female,Supplements
CUST00046,2023-10-15,Organic Search,132.32,Indore,Tier 3,46,Female,Personal Care
CUST00047,2022-04-25,Influencer,2071.42,Mumbai,Tier 1,27,Female,Supplements
CUST00048,2022-06-01,Influencer,1146.01,Hyderabad,Tier 1,41,Male,Skincare
CUST00049,2022-08-04,Email Referral,283.39,Ahmedabad,Tier 1,40,Male,Personal Care
CUST00050,2024-02-07,Direct,142.99,Delhi,Tier 1,28,Other,Haircare
CUST00051,2022-01-26,Email Referral,334.9,Delhi,Tier 1,44,Male,Haircare
CUST00052,2024-03-17,Paid Google,791.27,Ahmedabad,Tier 1,20,Male,Haircare
CUST00053,2023-04-17,Paid Instagram,1292.32,Bengaluru,Tier 1,32,Female,Haircare
CUST00054,2022-10-13,Paid Google,1083.44,Surat,Tier 2,35,Female,Personal Care
CUST00055,2024-05-13,Organic Search,287.85,Chennai,Tier 1,25,Male,Supplements
CUST00056,2022-09-29,Paid Instagram,1157.94,Mumbai,Tier 1,40,Male,Supplements
CUST00057,2023-06-08,Paid Google,1049.75,Mumbai,Tier 1,30,Female,Personal Care
CUST00058,2024-04-05,Paid Instagram,1231.66,Chennai,Tier 1,30,Female,Skincare
CUST00059,2022-12-05,Direct,116.34,Pune,Tier 1,25,Male,Supplements
CUST00060,2023-11-14,Influencer,1542.64,Hyderabad,Tier 1,36,Female,Haircare
CUST00061,2023-01-24,Paid Google,1051.4,Ahmedabad,Tier 1,37,Female,Skincare
CUST00062,2022-08-04,Paid Google,889.99,Hyderabad,Tier 1,38,Female,Personal Care
CUST00063,2023-06-08,Organic Search,280.24,Hyderabad,Tier 1,28,Male,Supplements
CUST00064,2023-10-11,Influencer,1202.73,Pune,Tier 1,33,Male,Haircare
CUST00065,2022-05-31,Email Referral,198.97,Mumbai,Tier 1,48,Female,Skincare
CUST00066,2024-06-26,Influencer,1313.88,Pune,Tier 1,42,Female,Haircare
CUST00067,2023-12-06,Paid Instagram,1250.58,Mumbai,Tier 1,24,Male,Haircare
CUST00068,2023-12-14,Paid Instagram,830.13,Chennai,Tier 1,33,Male,Skincare
CUST00069,2024-03-31,Influencer,1684.25,Hyderabad,Tier 1,38,Male,Personal Care
CUST00070,2024-01-07,Organic Search,185.35,Surat,Tier 2,46,Male,Personal Care
CUST00071,2024-02-09,Influencer,1801.43,Delhi,Tier 1,51,Female,Haircare
CUST00072,2022-03-21,Paid Google,717.25,Kolkata,Tier 1,39,Female,Skincare
CUST00073,2022-08-25,Paid Instagram,891.68,Bengaluru,Tier 1,31,Female,Personal Care
CUST00074,2023-04-23,Paid Google,703.42,Hyderabad,Tier 1,44,Female,Skincare
