order_item_id,order_id,customer_id,product_name,category,mrp,selling_price,quantity,line_revenue,line_cogs
ITEM00000011,ORD0000001,CUST00001,Vitamin C Serum,Skincare,899,809.1,2,1618.2,360
ITEM00000012,ORD0000001,CUST00001,SPF 50 Sunscreen,Skincare,599,539.1,1,539.1,110
ITEM00000013,ORD0000001,CUST00001,SPF 50 Sunscreen,Skincare,599,539.1,1,539.1,110
ITEM00000021,ORD0000002,CUST00002,Charcoal Body Wash,Personal Care,399,359.1,1,359.1,70
ITEM00000022,ORD0000002,CUST00002,Scalp Scrub,Haircare,399,359.1,1,359.1,70
ITEM00000031,ORD0000003,CUST00003,Hyaluronic Moisturizer,Skincare,799,679.15,1,679.15,150
ITEM00000041,ORD0000004,CUST00003,Vitamin D3 + K2,Supplements,699,594.15,1,594.15,120
ITEM00000042,ORD0000004,CUST00003,SPF 50 Sunscreen,Skincare,599,509.15,3,1527.45,330
ITEM00000043,ORD0000004,CUST00003,SPF 50 Sunscreen,Skincare,599,509.15,1,509.15,110
ITEM00000051,ORD0000005,CUST00003,Vitamin C Serum,Skincare,899,719.2,1,719.2,180
ITEM00000061,ORD0000006,CUST00004,Iron + Folic Acid,Supplements,499,399.2,2,798.4,170
ITEM00000071,ORD0000007,CUST00005,Charcoal Body Wash,Personal Care,399,379.05,1,379.05,70
ITEM00000072,ORD0000007,CUST00005,Intimate Wash,Personal Care,449,426.55,1,426.55,80
ITEM00000081,ORD0000008,CUST00006,Face Wash Gel,Skincare,349,331.55,1,331.55,60
ITEM00000082,ORD0000008,CUST00006,Hyaluronic Moisturizer,Skincare,799,759.05,2,1518.1,300
ITEM00000091,ORD0000009,CUST00007,Collagen Powder,Supplements,1499,1349.1,2,2698.2,640
ITEM00000092,ORD0000009,CUST00007,Lip Balm SPF 15,Personal Care,199,179.1,1,179.1,35
ITEM00000093,ORD0000009,CUST00007,Charcoal Body Wash,Personal Care,399,359.1,1,359.1,70
ITEM00000101,ORD0000010,CUST00007,Charcoal Body Wash,Personal Care,399,319.2,2,638.4,140
ITEM00000111,ORD0000011,CUST00007,Lip Balm SPF 15,Personal Care,199,159.2,1,159.2,35
ITEM00000112,ORD0000011,CUST00007,Charcoal Body Wash,Personal Care,399,319.2,1,319.2,70
ITEM00000113,ORD0000011,CUST00007,Vitamin C Serum,Skincare,899,719.2,1,719.2,180
ITEM00000121,ORD0000012,CUST00007,Charcoal Body Wash,Personal Care,399,359.1,1,359.1,70
ITEM00000122,ORD0000012,CUST00007,Retinol Night Cream,Skincare,1199,1079.1,1,1079.1,240
ITEM00000131,ORD0000013,CUST00007,Hand Cream Repair,Personal Care,349,331.55,1,331.55,60
ITEM00000141,ORD0000014,CUST00007,Vitamin C Serum,Skincare,899,854.05,1,854.05,180
ITEM00000151,ORD0000015,CUST00008,Omega 3 Fish Oil,Supplements,899,764.15,3,2292.45,510
ITEM00000161,ORD0000016,CUST00008,Vitamin D3 + K2,Supplements,699,699.0,1,699.0,120
ITEM00000162,ORD0000016,CUST00008,Collagen Powder,Supplements,1499,1499.0,1,1499.0,320
ITEM00000171,ORD0000017,CUST00009,Vitamin D3 + K2,Supplements,699,664.05,1,664.05,120
ITEM00000172,ORD0000017,CUST00009,Scalp Scrub,Haircare,399,379.05,3,1137.15,210
ITEM00000181,ORD0000018,CUST00010,Retinol Night Cream,Skincare,1199,1079.1,1,1079.1,240
ITEM00000191,ORD0000019,CUST00010,Vitamin C Serum,Skincare,899,809.1,1,809.1,180
ITEM00000201,ORD0000020,CUST00011,Biotin Tablets 10000mcg,Supplements,799,719.1,1,719.1,150
ITEM00000211,ORD0000021,CUST00012,Omega 3 Fish Oil,Supplements,899,764.15,1,764.15,170
ITEM00000212,ORD0000021,CUST00012,Onion Hair Oil,Haircare,549,466.65,2,933.3,180
ITEM00000221,ORD0000022,CUST00013,Lip Balm SPF 15,Personal Care,199,179.1,1,179.1,35
ITEM00000231,ORD0000023,CUST00014,Anti-Dandruff Shampoo,Haircare,449,449.0,3,1347.0,240
ITEM00000241,ORD0000024,CUST00014,Anti-Dandruff Shampoo,Haircare,449,426.55,1,426.55,80
ITEM00000251,ORD0000025,CUST00015,SPF 50 Sunscreen,Skincare,599,479.2,1,479.2,110
ITEM00000252,ORD0000025,CUST00015,Face Wash Gel,Skincare,349,279.2,2,558.4,120
ITEM00000253,ORD0000025,CUST00015,Intimate Wash,Personal Care,449,359.2,1,359.2,80
ITEM00000261,ORD0000026,CUST00015,Hand Cream Repair,Personal Care,349,314.1,1,314.1,60
ITEM00000262,ORD0000026,CUST00015,Lip Balm SPF 15,Personal Care,199,179.1,1,179.1,35
ITEM00000271,ORD0000027,CUST00016,Omega 3 Fish Oil,Supplements,899,899.0,3,2697.0,510
ITEM00000272,ORD0000027,CUST00016,Biotin Tablets 10000mcg,Supplements,799,799.0,1,799.0,150
ITEM00000273,ORD0000027,CUST00016,Collagen Powder,Supplements,1499,1499.0,1,1499.0,320
ITEM00000281,ORD0000028,CUST00016,Biotin Tablets 10000mcg,Supplements,799,679.15,1,679.15,150
ITEM00000282,ORD0000028,CUST00016,Vitamin D3 + K2,Supplements,699,594.15,1,594.15,120
ITEM00000291,ORD0000029,CUST00017,Iron + Folic Acid,Supplements,499,499.0,1,499.0,85
ITEM00000301,ORD0000030,CUST00017,Intimate Wash,Personal Care,449,359.2,1,359.2,80
ITEM00000311,ORD0000031,CUST00017,Vitamin D3 + K2,Supplements,699,594.15,1,594.15,120
ITEM00000312,ORD0000031,CUST00017,Collagen Powder,Supplements,1499,1274.15,2,2548.3,640
ITEM00000321,ORD0000032,CUST00018,Onion Hair Oil,Haircare,549,549.0,2,1098.0,180
ITEM00000331,ORD0000033,CUST00019,Biotin Tablets 10000mcg,Supplements,799,799.0,1,799.0,150
ITEM00000341,ORD0000034,CUST00020,Scalp Scrub,Haircare,399,399.0,1,399.0,70
ITEM00000351,ORD0000035,CUST00021,Keratin Hair Mask,Haircare,899,899.0,2,1798.0,320
ITEM00000352,ORD0000035,CUST00021,Lip Balm SPF 15,Personal Care,199,199.0,3,597.0,105
ITEM00000361,ORD0000036,CUST00021,Hand Cream Repair,Personal Care,349,349.0,1,349.0,60
ITEM00000371,ORD0000037,CUST00022,Charcoal Body Wash,Personal Care,399,379.05,1,379.05,70
ITEM00000381,ORD0000038,CUST00023,Omega 3 Fish Oil,Supplements,899,809.1,1,809.1,170
ITEM00000391,ORD0000039,CUST00023,Biotin Tablets 10000mcg,Supplements,799,799.0,1,799.0,150
ITEM00000401,ORD0000040,CUST00024,Onion Hair Oil,Haircare,549,439.2,1,439.2,90
ITEM00000411,ORD0000041,CUST00025,Retinol Night Cream,Skincare,1199,1199.0,1,1199.0,240
ITEM00000412,ORD0000041,CUST00025,Vitamin C Serum,Skincare,899,899.0,1,899.0,180
ITEM00000413,ORD0000041,CUST00025,Retinol Night Cream,Skincare,1199,1199.0,3,3597.0,720
ITEM00000421,ORD0000042,CUST00025,Vitamin D3 + K2,Supplements,699,664.05,3,1992.15,360
ITEM00000422,ORD0000042,CUST00025,Face Wash Gel,Skincare,349,331.55,2,663.1,120
ITEM00000431,ORD0000043,CUST00026,Vitamin D3 + K2,Supplements,699,699.0,1,699.0,120
ITEM00000441,ORD0000044,CUST00027,Scalp Scrub,Haircare,399,399.0,1,399.0,70
ITEM00000451,ORD0000045,CUST00028,Lip Balm SPF 15,Personal Care,199,179.1,1,179.1,35
ITEM00000452,ORD0000045,CUST00028,Vitamin C Serum,Skincare,899,809.1,1,809.1,180
ITEM00000461,ORD0000046,CUST00029,Retinol Night Cream,Skincare,1199,1079.1,2,2158.2,480
ITEM00000462,ORD0000046,CUST00029,SPF 50 Sunscreen,Skincare,599,539.1,1,539.1,110
ITEM00000471,ORD0000047,CUST00030,Charcoal Body Wash,Personal Care,399,379.05,1,379.05,70
ITEM00000472,ORD0000047,CUST00030,Keratin Hair Mask,Haircare,899,854.05,2,1708.1,320
ITEM00000481,ORD0000048,CUST00030,Collagen Powder,Supplements,1499,1499.0,1,1499.0,320
ITEM00000482,ORD0000048,CUST00030,Biotin Hair Serum,Haircare,699,699.0,2,1398.0,260
ITEM00000491,ORD0000049,CUST00031,Vitamin C Serum,Skincare,899,809.1,3,2427.3,540
ITEM00000492,ORD0000049,CUST00031,Hyaluronic Moisturizer,Skincare,799,719.1,1,719.1,150
ITEM00000493,ORD0000049,CUST00031,Hyaluronic Moisturizer,Skincare,799,719.1,1,719.1,150
ITEM00000501,ORD0000050,CUST00032,Deodorant Roll-On,Personal Care,299,254.15,1,254.15,50
ITEM00000511,ORD0000051,CUST00033,Lip Balm SPF 15,Personal Care,199,199.0,2,398.0,70
ITEM00000521,ORD0000052,CUST00033,Lip Balm SPF 15,Personal Care,199,169.15,1,169.15,35
ITEM00000522,ORD0000052,CUST00033,Scalp Scrub,Haircare,399,339.15,1,339.15,70
ITEM00000531,ORD0000053,CUST00034,Vitamin D3 + K2,Supplements,699,699.0,1,699.0,120
ITEM00000532,ORD0000053,CUST00034,Iron + Folic Acid,Supplements,499,499.0,2,998.0,170
ITEM00000541,ORD0000054,CUST00035,Deodorant Roll-On,Personal Care,299,284.05,1,284.05,50
ITEM00000542,ORD0000054,CUST00035,Hand Cream Repair,Personal Care,349,331.55,1,331.55,60
ITEM00000543,ORD0000054,CUST00035,Biotin Tablets 10000mcg,Supplements,799,759.05,1,759.05,150
ITEM00000551,ORD0000055,CUST00035,Charcoal Body Wash,Personal Care,399,379.05,1,379.05,70
ITEM00000552,ORD0000055,CUST00035,Lip Balm SPF 15,Personal Care,199,189.05,1,189.05,35
ITEM00000553,ORD0000055,CUST00035,Lip Balm SPF 15,Personal Care,199,189.05,2,378.1,70
ITEM00000561,ORD0000056,CUST00036,Anti-Dandruff Shampoo,Haircare,449,449.0,1,449.0,80
ITEM00000562,ORD0000056,CUST00036,Biotin Hair Serum,Haircare,699,699.0,1,699.0,130
ITEM00000571,ORD0000057,CUST00037,Biotin Hair Serum,Haircare,699,594.15,3,1782.45,390
ITEM00000581,ORD0000058,CUST00038,Biotin Tablets 10000mcg,Supplements,799,759.05,1,759.05,150
ITEM00000591,ORD0000059,CUST00039,Retinol Night Cream,Skincare,1199,1079.1,1,1079.1,240
ITEM00000592,ORD0000059,CUST00039,Biotin Tablets 10000mcg,Supplements,799,719.1,1,719.1,150
ITEM00000593,ORD0000059,CUST00039,Iron + Folic Acid,Supplements,499,449.1,2,898.2,170
ITEM00000601,ORD0000060,CUST00039,Iron + Folic Acid,Supplements,499,449.1,1,449.1,85
ITEM00000611,ORD0000061,CUST00039,Scalp Scrub,Haircare,399,359.1,1,359.1,70
ITEM00000621,ORD0000062,CUST00039,Biotin Tablets 10000mcg,Supplements,799,799.0,1,799.0,150
ITEM00000622,ORD0000062,CUST00039,Hyaluronic Moisturizer,Skincare,799,799.0,3,2397.0,450
ITEM00000631,ORD0000063,CUST00040,Keratin Hair Mask,Haircare,899,854.05,1,854.05,160
ITEM00000632,ORD0000063,CUST00040,Keratin Hair Mask,Haircare,899,854.05,1,854.05,160
ITEM00000641,ORD0000064,CUST00040,Keratin Hair Mask,Haircare,899,899.0,2,1798.0,320
ITEM00000651,ORD0000065,CUST00041,Anti-Dandruff Shampoo,Haircare,449,404.1,1,404.1,80
ITEM00000661,ORD0000066,CUST00042,Iron + Folic Acid,Supplements,499,449.1,3,1347.3,255
ITEM00000662,ORD0000066,CUST00042,Vitamin D3 + K2,Supplements,699,629.1,2,1258.2,240
ITEM00000671,ORD0000067,CUST00042,Collagen Powder,Supplements,1499,1499.0,1,1499.0,320
ITEM00000681,ORD0000068,CUST00043,SPF 50 Sunscreen,Skincare,599,539.1,1,539.1,110
ITEM00000682,ORD0000068,CUST00043,Anti-Dandruff Shampoo,Haircare,449,404.1,1,404.1,80
ITEM00000683,ORD0000068,CUST00043,Anti-Dandruff Shampoo,Haircare,449,404.1,1,404.1,80
ITEM00000691,ORD0000069,CUST00044,Iron + Folic Acid,Supplements,499,449.1,1,449.1,85
ITEM00000701,ORD0000070,CUST00045,Iron + Folic Acid,Supplements,499,499.0,1,499.0,85
ITEM00000702,ORD0000070,CUST00045,Biotin Tablets 10000mcg,Supplements,799,799.0,1,799.0,150
ITEM00000711,ORD0000071,CUST00045,Biotin Tablets 10000mcg,Supplements,799,799.0,1,799.0,150
ITEM00000721,ORD0000072,CUST00045,Keratin Hair Mask,Haircare,899,854.05,1,854.05,160
ITEM00000731,ORD0000073,CUST00046,Intimate Wash,Personal Care,449,404.1,2,808.2,160
ITEM00000741,ORD0000074,CUST00046,Anti-Dandruff Shampoo,Haircare,449,404.1,1,404.1,80
ITEM00000751,ORD0000075,CUST00046,Lip Balm SPF 15,Personal Care,199,199.0,2,398.0,70
ITEM00000761,ORD0000076,CUST00047,Omega 3 Fish Oil,Supplements,899,809.1,1,809.1,170
ITEM00000762,ORD0000076,CUST00047,Anti-Dandruff Shampoo,Haircare,449,404.1,1,404.1,80
ITEM00000763,ORD0000076,CUST00047,Anti-Dandruff Shampoo,Haircare,449,404.1,1,404.1,80
ITEM00000771,ORD0000077,CUST00048,Vitamin C Serum,Skincare,899,854.05,1,854.05,180
ITEM00000772,ORD0000077,CUST00048,Intimate Wash,Personal Care,449,426.55,1,426.55,80
ITEM00000781,ORD0000078,CUST00049,Retinol Night Cream,Skincare,1199,1139.05,1,1139.05,240
ITEM00000782,ORD0000078,CUST00049,Deodorant Roll-On,Personal Care,299,284.05,1,284.05,50
ITEM00000791,ORD0000079,CUST00049,Deodorant Roll-On,Personal Care,299,284.05,2,568.1,100
ITEM00000801,ORD0000080,CUST00050,Anti-Dandruff Shampoo,Haircare,449,404.1,1,404.1,80
ITEM00000802,ORD0000080,CUST00050,Keratin Hair Mask,Haircare,899,809.1,1,809.1,160
ITEM00000811,ORD0000081,CUST00051,Face Wash Gel,Skincare,349,349.0,1,349.0,60
ITEM00000821,ORD0000082,CUST00052,Omega 3 Fish Oil,Supplements,899,809.1,1,809.1,170
ITEM00000822,ORD0000082,CUST00052,Retinol Night Cream,Skincare,1199,1079.1,1,1079.1,240
ITEM00000823,ORD0000082,CUST00052,Anti-Dandruff Shampoo,Haircare,449,404.1,1,404.1,80
ITEM00000831,ORD0000083,CUST00052,Biotin Hair Serum,Haircare,699,699.0,1,699.0,130
ITEM00000841,ORD0000084,CUST00053,Onion Hair Oil,Haircare,549,521.55,1,521.55,90
ITEM00000851,ORD0000085,CUST00054,Charcoal Body Wash,Personal Care,399,319.2,1,319.2,70
ITEM00000861,ORD0000086,CUST00055,Iron + Folic Acid,Supplements,499,499.0,1,499.0,85
ITEM00000871,ORD0000087,CUST00055,Collagen Powder,Supplements,1499,1499.0,1,1499.0,320
ITEM00000881,ORD0000088,CUST00055,Vitamin D3 + K2,Supplements,699,594.15,1,594.15,120
ITEM00000882,ORD0000088,CUST00055,Iron + Folic Acid,Supplements,499,424.15,1,424.15,85
ITEM00000891,ORD0000089,CUST00056,Vitamin D3 + K2,Supplements,699,699.0,1,699.0,120
ITEM00000901,ORD0000090,CUST00057,Hand Cream Repair,Personal Care,349,349.0,2,698.0,120
ITEM00000911,ORD0000091,CUST00058,Vitamin C Serum,Skincare,899,809.1,3,2427.3,540
ITEM00000912,ORD0000091,CUST00058,SPF 50 Sunscreen,Skincare,599,539.1,1,539.1,110
ITEM00000913,ORD0000091,CUST00058,Hyaluronic Moisturizer,Skincare,799,719.1,1,719.1,150
ITEM00000921,ORD0000092,CUST00058,SPF 50 Sunscreen,Skincare,599,509.15,1,509.15,110
ITEM00000922,ORD0000092,CUST00058,SPF 50 Sunscreen,Skincare,599,509.15,1,509.15,110
ITEM00000923,ORD0000092,CUST00058,SPF 50 Sunscreen,Skincare,599,509.15,2,1018.3,220
ITEM00000931,ORD0000093,CUST00059,Omega 3 Fish Oil,Supplements,899,899.0,1,899.0,170
ITEM00000932,ORD0000093,CUST00059,Hyaluronic Moisturizer,Skincare,799,799.0,1,799.0,150
ITEM00000941,ORD0000094,CUST00059,Biotin Tablets 10000mcg,Supplements,799,719.1,1,719.1,150
ITEM00000942,ORD0000094,CUST00059,Biotin Tablets 10000mcg,Supplements,799,719.1,2,1438.2,300
ITEM00000951,ORD0000095,CUST00059,Scalp Scrub,Haircare,399,399.0,2,798.0,140
ITEM00000961,ORD0000096,CUST00059,Biotin Tablets 10000mcg,Supplements,799,679.15,1,679.15,150
ITEM00000971,ORD0000097,CUST00060,Face Wash Gel,Skincare,349,279.2,1,279.2,60
ITEM00000981,ORD0000098,CUST00061,Hyaluronic Moisturizer,Skincare,799,759.05,2,1518.1,300
ITEM00000991,ORD0000099,CUST00062,Intimate Wash,Personal Care,449,426.55,1,426.55,80
ITEM00001001,ORD0000100,CUST00062,Charcoal Body Wash,Personal Care,399,379.05,3,1137.15,210
ITEM00001002,ORD0000100,CUST00062,Intimate Wash,Personal Care,449,426.55,1,426.55,80
ITEM00001003,ORD0000100,CUST00062,Intimate Wash,Personal Care,449,426.55,1,426.55,80
ITEM00001011,ORD0000101,CUST00063,Vitamin D3 + K2,Supplements,699,559.2,1,559.2,120
ITEM00001021,ORD0000102,CUST00064,Anti-Dandruff Shampoo,Haircare,449,381.65,1,381.65,80
ITEM00001031,ORD0000103,CUST00065,Scalp Scrub,Haircare,399,399.0,1,399.0,70
ITEM00001041,ORD0000104,CUST00066,Biotin Hair Serum,Haircare,699,629.1,1,629.1,130
ITEM00001051,ORD0000105,CUST00067,Keratin Hair Mask,Haircare,899,809.1,1,809.1,160
ITEM00001061,ORD0000106,CUST00068,Retinol Night Cream,Skincare,1199,1199.0,1,1199.0,240
ITEM00001062,ORD0000106,CUST00068,Face Wash Gel,Skincare,349,349.0,2,698.0,120
