order_id,customer_id,order_date,order_month,order_year,order_revenue,order_cogs,shipping_cost,discount_pct,gross_profit,payment_mode,is_first_order
ORD0000001,CUST00001,2022-01-27,2022-01,2022,2696.4,580,60,0.1,2056.4,Credit Card,1
ORD0000002,CUST00002,2022-02-03,2022-02,2022,718.2,140,60,0.1,518.2,UPI,1
ORD0000003,CUST00003,2023-12-20,2023-12,2023,679.15,150,60,0.15,469.15,UPI,1
ORD0000004,CUST00003,2024-01-30,2024-01,2024,2630.75,560,60,0.15,2010.75,COD,0
ORD0000005,CUST00003,2024-04-19,2024-04,2024,719.2,180,60,0.2,479.2,Debit Card,0
ORD0000006,CUST00004,2022-06-13,2022-06,2022,798.4,170,60,0.2,568.4,Debit Card,1
ORD0000007,CUST00005,2023-01-28,2023-01,2023,805.6,150,60,0.05,595.6,UPI,1
ORD0000008,CUST00006,2023-01-25,2023-01,2023,1849.65,360,60,0.05,1429.65,UPI,1
ORD0000009,CUST00007,2022-08-23,2022-08,2022,3236.4,745,60,0.1,2431.4,UPI,1
ORD0000010,CUST00007,2022-09-17,2022-09,2022,638.4,140,60,0.2,438.4,Debit Card,0
ORD0000011,CUST00007,2022-10-28,2022-10,2022,1197.6,285,60,0.2,852.6,Credit Card,0
ORD0000012,CUST00007,2022-12-14,2022-12,2022,1438.2,310,60,0.1,1068.2,Wallet,0
ORD0000013,CUST00007,2023-03-06,2023-03,2023,331.55,60,60,0.05,211.55,Debit Card,0
ORD0000014,CUST00007,2023-05-19,2023-05,2023,854.05,180,60,0.05,614.05,COD,0
ORD0000015,CUST00008,2023-10-15,2023-10,2023,2292.45,510,60,0.15,1722.45,Debit Card,1
ORD0000016,CUST00008,2024-02-04,2024-02,2024,2198.0,440,60,0.0,1698.0,UPI,0
ORD0000017,CUST00009,2023-12-04,2023-12,2023,1801.2,330,60,0.05,1411.2,Credit Card,1
ORD0000018,CUST00010,2023-01-24,2023-01,2023,1079.1,240,60,0.1,779.1,UPI,1
ORD0000019,CUST00010,2023-03-20,2023-03,2023,809.1,180,60,0.1,569.1,COD,0
ORD0000020,CUST00011,2022-02-04,2022-02,2022,719.1,150,60,0.1,509.1,UPI,1
ORD0000021,CUST00012,2023-05-29,2023-05,2023,1697.45,350,60,0.15,1287.45,UPI,1
ORD0000022,CUST00013,2023-07-31,2023-07,2023,179.1,35,60,0.1,84.1,UPI,1
ORD0000023,CUST00014,2022-05-22,2022-05,2022,1347.0,240,60,0.0,1047.0,COD,1
